Yield,Beta,c,Env,E[T],Var[T]
34.5,0.01,-4.0,rich,52.78752603531977,2197.9217192564756
34.5,0.01,-4.0,poor,51.73298493156176,2142.3708779496783
57.5,0.01,-4.0,rich,51.2245053590683,2200.6819032829735
57.5,0.01,-4.0,poor,50.13731242899695,2142.524535861283
34.5,0.01,-2.5,rich,14.580649976959915,230.5633283284067
34.5,0.01,-2.5,poor,13.938726413783334,210.29524179689034
57.5,0.01,-2.5,rich,13.30591974583589,212.5925628597945
57.5,0.01,-2.5,poor,12.693614682600883,193.10010940599759
34.5,0.01,-1.0,rich,3.712176876740851,11.261497399647086
34.5,0.01,-1.0,poor,3.5865875757764423,10.346271950503855
57.5,0.01,-1.0,rich,3.2809209466073814,8.919541973231631
57.5,0.01,-1.0,poor,3.1722121912292565,8.170154469996877
34.5,0.01,0.5,rich,1.5747932604036037,0.9366971716038639
34.5,0.01,0.5,poor,1.5491370831798037,0.8790889900811042
57.5,0.01,0.5,rich,1.4710929759780365,0.7276669489668481
57.5,0.01,0.5,poor,1.4499217639709496,0.6835602769476534
34.5,0.01,2.0,rich,1.126506652756865,0.14367143249242895
34.5,0.01,2.0,poor,1.120929495223436,0.13660969759035402
57.5,0.01,2.0,rich,1.1031099186303293,0.1150252739129843
57.5,0.01,2.0,poor,1.09855749805628,0.1094394732893599
34.5,0.05623413251903491,-4.0,rich,46.47046306814905,2708.955234942072
34.5,0.05623413251903491,-4.0,poor,48.89691891494208,2724.7133488647605
57.5,0.05623413251903491,-4.0,rich,37.83153824827507,2638.351860819371
57.5,0.05623413251903491,-4.0,poor,37.55275671363458,2592.607625920042
34.5,0.05623413251903491,-2.5,rich,26.682241526242564,1265.8049984785325
34.5,0.05623413251903491,-2.5,poor,19.65108805810685,796.1088685453226
57.5,0.05623413251903491,-2.5,rich,12.444446941161882,640.6319093557448
57.5,0.05623413251903491,-2.5,poor,8.149777598905896,318.0124008617864
34.5,0.05623413251903491,-1.0,rich,3.8416746342877546,25.808153728614723
34.5,0.05623413251903491,-1.0,poor,2.989250582603602,12.28731806201855
57.5,0.05623413251903491,-1.0,rich,1.7572739687433463,3.0991216822105265
57.5,0.05623413251903491,-1.0,poor,1.5421698641491706,1.4699442633985595
34.5,0.05623413251903491,0.5,rich,1.442290580262889,0.7687665772638932
34.5,0.05623413251903491,0.5,poor,1.3366421711187169,0.5177347732112605
57.5,0.05623413251903491,0.5,rich,1.1335334197315297,0.16757739169943486
57.5,0.05623413251903491,0.5,poor,1.1025821112385747,0.12211111487293771
34.5,0.05623413251903491,2.0,rich,1.0921716288917922,0.1044720602462515
34.5,0.05623413251903491,2.0,poor,1.0713064305884663,0.07860820741406307
57.5,0.05623413251903491,2.0,rich,1.028699374260447,0.03013529376447471
57.5,0.05623413251903491,2.0,poor,1.0222434994186924,0.023101626049818202
34.5,0.31622776601683794,-4.0,rich,0.5654693432676452,21.14374924938529
34.5,0.31622776601683794,-4.0,poor,1.3166528451598265,41.995812222820774
57.5,0.31622776601683794,-4.0,rich,1.008722746461612,0.010136770719863271
57.5,0.31622776601683794,-4.0,poor,1.0020520515595952,0.0021016763498176057
34.5,0.31622776601683794,-2.5,rich,1.3527052456466993,42.466395861343145
34.5,0.31622776601683794,-2.5,poor,1.4322442515629126,23.698697725780885
57.5,0.31622776601683794,-2.5,rich,1.0018931462783012,0.0019346181614706243
57.5,0.31622776601683794,-2.5,poor,1.0004544947271743,0.00045658350741000734
34.5,0.31622776601683794,-1.0,rich,1.4103618397933455,21.746551301955943
34.5,0.31622776601683794,-1.0,poor,1.0872069097424306,1.4127407499178055
57.5,0.31622776601683794,-1.0,rich,1.000419546963923,0.0004213235383474542
57.5,0.31622776601683794,-1.0,poor,1.000101250454626,0.0001013524715182959
34.5,0.31622776601683794,0.5,rich,1.0788007947614402,1.1273627266085329
34.5,0.31622776601683794,0.5,poor,1.0157300225386394,0.01952537580458106
57.5,0.31622776601683794,0.5,rich,1.0000934764671843,9.35633933784421e-05
57.5,0.31622776601683794,0.5,poor,1.0000225840957015,2.258915584161511e-05
34.5,0.31622776601683794,2.0,rich,1.0144819135887209,0.017153211664334627
34.5,0.31622776601683794,2.0,poor,1.0034250699908829,0.003479861129220927
57.5,0.31622776601683794,2.0,rich,1.0000208506572983,2.0854970183123577e-05
57.5,0.31622776601683794,2.0,poor,1.000005038798734,5.039050455568557e-06
34.5,1.7782794100389228,-4.0,rich,1.0001497263459316,0.00015829109719335964
34.5,1.7782794100389228,-4.0,poor,1.000000055348983,5.535086526765084e-08
57.5,1.7782794100389228,-4.0,rich,1.0,0.0
57.5,1.7782794100389228,-4.0,poor,1.0,0.0
34.5,1.7782794100389228,-2.5,rich,1.0000359271453898,3.64713019745892e-05
34.5,1.7782794100389228,-2.5,poor,1.0000000123498654,1.2349958579924302e-08
57.5,1.7782794100389228,-2.5,rich,1.0,0.0
57.5,1.7782794100389228,-2.5,poor,1.0,0.0
34.5,1.7782794100389228,-1.0,rich,1.000008103581368,8.138433369665275e-06
34.5,1.7782794100389228,-1.0,poor,1.0000000027556193,2.755624042244848e-09
57.5,1.7782794100389228,-1.0,rich,1.0,0.0
57.5,1.7782794100389228,-1.0,poor,1.0,0.0
34.5,1.7782794100389228,0.5,rich,1.0000018083044462,1.8102600696568384e-06
34.5,1.7782794100389228,0.5,poor,1.0000000006148615,6.148616201774972e-10
57.5,1.7782794100389228,0.5,rich,1.0,0.0
57.5,1.7782794100389228,0.5,poor,1.0,0.0
34.5,1.7782794100389228,2.0,rich,1.0000004033623622,4.034625787702964e-07
34.5,1.7782794100389228,2.0,poor,1.000000000137194,1.3719405119508314e-10
57.5,1.7782794100389228,2.0,rich,1.0,0.0
57.5,1.7782794100389228,2.0,poor,1.0,0.0
34.5,10.0,-4.0,rich,1.0,0.0
34.5,10.0,-4.0,poor,1.0,0.0
57.5,10.0,-4.0,rich,1.0,0.0
57.5,10.0,-4.0,poor,1.0,0.0
34.5,10.0,-2.5,rich,1.0,0.0
34.5,10.0,-2.5,poor,1.0,0.0
57.5,10.0,-2.5,rich,1.0,0.0
57.5,10.0,-2.5,poor,1.0,0.0
34.5,10.0,-1.0,rich,1.0,0.0
34.5,10.0,-1.0,poor,1.0,0.0
57.5,10.0,-1.0,rich,1.0,0.0
57.5,10.0,-1.0,poor,1.0,0.0
34.5,10.0,0.5,rich,1.0,0.0
34.5,10.0,0.5,poor,1.0,0.0
57.5,10.0,0.5,rich,1.0,0.0
57.5,10.0,0.5,poor,1.0,0.0
34.5,10.0,2.0,rich,1.0,0.0
34.5,10.0,2.0,poor,1.0,0.0
57.5,10.0,2.0,rich,1.0,0.0
57.5,10.0,2.0,poor,1.0,0.0
